attractionName,reviewerName,reviewTitle,ratings,reviewDate,reviewText,reviewerProfilePicURL,reviewURL,compound_score,sentiment_category,wordCount,usefulness,usefulness,usefulness,No. of Useful,,,
Singapore Flyer,Chua K,MERRY GO ROUND,20,13-Sep-16,Not worth to visit. Ãxpensive and boring. Weather is hot in Singapore and with the recent haze.... you may not be able to see far.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f1/79/default-avatar-2020-21.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r417927822-Singapore_Flyer-Singapore.html,-0.4526,Negative,25,useful,useful,useful,3,,,
Singapore Zoo,IasonasN1,Disappointing,20,13-Oct-18,"Be prepared for a lot of walking and not seeing many animals.Check the weather forecast before going, avoid visit if there's any sign of rain.",https://media-cdn.tripadvisor.com/media/photo-o/04/60/9f/f7/iasonas-n.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324542-r624435274-Singapore_Zoo-Singapore.html,-0.0772,Negative,25,useful,useful,useful,3,,,
Gardens by the Bay,aliciattant,Must go,50,10-Feb-20,"This place is really something else. The cloud dome is a must visit in Singapore, can't find anything like it anywhere else. Great for families, couples, solo, anyone really.",https://media-cdn.tripadvisor.com/media/photo-l/1b/3a/20/3f/aliciattant.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r744036573-Gardens_by_the_Bay-Singapore.html,0.457,Positive,29,useful,useful,useful,3,,,
Singapore Zoo,alan691b,Don't waste your time.,10,10-Jul-19,Nothing to see. Only 1 or 2 animal inside the cage. Place is too small. Ticket price is not cheap. Not worth visiting. Lastly BORING.,https://media-cdn.tripadvisor.com/media/photo-l/19/30/66/74/avatar.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324542-r688308458-Singapore_Zoo-Singapore.html,-0.3695,Negative,25,useful,useful,useful,3,,,
Gardens by the Bay,970nvk,Nice but expensive,30,19-Aug-17,"First time there, very nice design but a bit overprice. We only need less than 2 hours to go around the park. Not worth the price.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f3/23/default-avatar-2020-28.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r515122120-Gardens_by_the_Bay-Singapore.html,0.0123,Neutral,26,not useful,not useful,not useful,0,,,
Gardens by the Bay,Lofts3008,Nice artifical place to spend 2-3hours,30,26-Jan-14,"I found the entrance fee for the 2 conservatories for non-residents too pricey, though (I understood you must pay 28Dollar for both), so I skipped it.",https://media-cdn.tripadvisor.com/media/photo-l/03/8e/b6/57/lofts3008.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r192018446-Gardens_by_the_Bay-Singapore.html,-0.1027,Negative,26,not useful,not useful,not useful,0,,,
Gardens by the Bay,DarrenL2086,Really beautiful place,30,20-Jul-17,"I live in Singapore and have been to Gardens by the Bay dozens of time to spend time with family, A++.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f2/b8/default-avatar-2020-26.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r503798425-Gardens_by_the_Bay-Singapore.html,0,Neutral,21,not useful,not useful,not useful,0,,,
Gardens by the Bay,lingjiajun,supertree,20,20-Jan-17,"Last year came here is free, this year to charge a little disappointed, but also eight Singapore dollars, to go when the lights are bad side",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e2/81/default-avatar-2020-43.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r453473174-Gardens_by_the_Bay-Singapore.html,-0.6708,Negative,26,not useful,not useful,not useful,0,,,
Gardens by the Bay,anushreek2013,Over Hyped place,30,15-May-17,Visited the forest area after all the recommendations. It was so over hyped and didn't deserve the praises it recieved. Would totally recommend to skip this touristy place.,https://media-cdn.tripadvisor.com/media/photo-l/07/1e/e1/96/anushree-k.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r484235193-Gardens_by_the_Bay-Singapore.html,0.0044,Neutral,28,not useful,not useful,not useful,0,,,
Gardens by the Bay,Cameron H,Nothing too impressive. Just an airconned garden with dry plants exotic to SEA.,20,30-Jun-16,It probably is a once in Singapore to visit place. Unfortunately nothing amazing or interesting provided to western & continental visitors outside the South East Asia.,https://media-cdn.tripadvisor.com/media/photo-l/0a/41/f9/d0/djnauty.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r387654039-Gardens_by_the_Bay-Singapore.html,-0.7737,Negative,26,not useful,not useful,not useful,0,,,
Sands Skypark Observation Deck,KhushbuD29,awesome view,50,15-Feb-20,"okay so this place definitely the best if you want to see singapore at large, you can also just sit there and drink singapore sling while enjoying the view.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ee/68/default-avatar-2020-9.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r745184501-Sands_Skypark_Observation_Deck-Singapore.html,0.9147,Positive,29,useful,useful,useful,3,,,
Gardens by the Bay,tmgall,Overpriced Botanic Garden,20,12-Apr-16,"Not bad not really nice. I prefer the real botanic garden in Singapore. This one is something like sterile, dead on the basis of animal live.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f1/79/default-avatar-2020-21.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r363394935-Gardens_by_the_Bay-Singapore.html,-0.3609,Negative,26,useful,useful,useful,3,,,
Gardens by the Bay,ming1612,Waste time.,10,17-Jan-19,Nothing interesting at all. Expensive to enter. And all things inside is very expensive. Including food and drinks. Dont bother even if you have spare time.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e4/59/default-avatar-2020-49.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r646375496-Gardens_by_the_Bay-Singapore.html,-0.0572,Negative,26,not useful,not useful,not useful,0,,,
Gardens by the Bay,hidanii2,Don't pay for the tickets!,10,28-Dec-15,Don't pay for the tickets! There is no need to buy tickets to get into their landmark! The tickets are to visit the flowers and trees!,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/7c/01/default-avatar-2020-5.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r335319965-Gardens_by_the_Bay-Singapore.html,-0.357,Negative,26,not useful,not useful,not useful,0,,,
Gardens by the Bay,Travelwithkaran,So so,30,18-Feb-17,It was hectic. Depends up to your nature and hobby. If looking for different type of flowers and all can go.,https://media-cdn.tripadvisor.com/media/photo-l/15/62/75/a0/caption.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r460900950-Gardens_by_the_Bay-Singapore.html,0,Neutral,21,not useful,not useful,not useful,0,,,
Jurong Bird Park,mrsp188113,Hated it,20,5-Oct-16,This was a huge disappointment. Most of the birds looked stir crazy with not a lot of room to fly around. Smelly and quite dirty surroundings.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f3/e4/default-avatar-2020-30.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315466-r425280183-Jurong_Bird_Park-Singapore.html,-0.7645,Negative,26,useful,useful,useful,3,,,
National Museum of Singapore,Gabz_10,ok if you are a history buff,30,15-Aug-18,We spent two hours here on their independence day. The World War 2 exhibition was very good but some parts of the place were closed off.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e4/2d/default-avatar-2020-48.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324550-r606584785-National_Museum_of_Singapore-Singapore.html,-0.0909,Negative,26,useful,useful,useful,3,,,
Singapore Botanic Gardens,Yuda o,Not so...interesting,20,4-Nov-15,"Standard garden, explore some place not found interesting view, hot in the afternoon. You could try orchid garden but not free, will need you too pay.",https://media-cdn.tripadvisor.com/media/photo-l/09/33/d7/ed/yuda-o.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d310900-r152412036-Singapore_Botanic_Gardens-Singapore.html,-0.6987,Negative,26,not useful,not useful,not useful,0,,,
Singapore Cable Car,kyoshikiwi,meh,30,29-Apr-19,"this is way to expensive for what it is $38S , you get just a short trip over and back and it just not worth it",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f1/b8/default-avatar-2020-22.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r670040601-Singapore_Cable_Car-Singapore.html,-0.1695,Negative,26,not useful,not useful,not useful,0,,,
Singapore Cable Car,PreeaKumar,It gives a good view from the top like any other cable car!,30,4-Jan-18,Nothing really special except that you get a birds eye view of Singapore mainland and the approaching Sentosa Island when you go via the Cable car.,https://media-cdn.tripadvisor.com/media/photo-l/02/47/e8/00/preea.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r551193701-Singapore_Cable_Car-Singapore.html,-0.3559,Negative,26,not useful,not useful,not useful,0,,,
Gardens by the Bay,Tata T,Rainy day :(,30,2-Jan-17,"I visited here this evening, and i also have buy the tickets, i hope i can anjoy all the show,the show start from 3.30pm, but when i arrived rain is falling, so sadI decided to go back to the hotel",https://media-cdn.tripadvisor.com/media/photo-l/0b/07/5f/df/tata-t.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r448262101-Gardens_by_the_Bay-Singapore.html,0.0129,Neutral,40,useful,useful,useful,3,,,
Singapore Cable Car,RhondaZP,One way rip off,30,28-Mar-12,"Cost for cable car alone, from Harbour Front to Sentosa, one way is SGD24.00 yet return ticket is SGD26.00! Next time we'll walk across the boardwalk.",https://media-cdn.tripadvisor.com/media/photo-f/01/79/86/25/rhondazp.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r126821943-Singapore_Cable_Car-Singapore.html,-0.3164,Negative,26,not useful,not useful,not useful,0,,,
Singapore Zoo,Jwidja,must visit,40,23-Jan-20,"alot of things to see. it is a pity that it rained on the day i visited, i will want to return to see the rest",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/eb/6d/default-avatar-2020-19.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324542-r740742536-Singapore_Zoo-Singapore.html,-0.2263,Negative,26,not useful,not useful,not useful,0,,,
Gardens by the Bay,ScubaDy,Packed even on a weekday,30,20-Dec-16,"Too many cars trying to get in - the queue was extremely long even though it was a Monday evening. Earlier at MBS, our 1 hour plus parking costs $14. Ouch. We gave up trying to drive into the Satay by the Bay as the queue was just too long.",https://media-cdn.tripadvisor.com/media/photo-l/0b/9e/26/a7/scubady.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r445569962-Gardens_by_the_Bay-Singapore.html,0,Neutral,50,useful,useful,useful,3,,,
Supertree Grove,JGOOTJoel,"Pretty cool, but not worth a special trip",30,11-Dec-19,"If you're going to Sands, or Cloud Forest already - this is a great site to see on the way, but not worth a special trip.",https://media-cdn.tripadvisor.com/media/photo-l/19/7c/c3/96/jgootjoel.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r731891118-Supertree_Grove-Singapore.html,-0.3261,Negative,26,useful,useful,useful,3,,,
ArtScience Museum at Marina Bay Sands,traveltolivelifenow,More beautiful outside then inside,30,30-Jan-16,"Was a little disappointed at how small the museum was on the inside. Very clean and friendly staff but not impressed with our visit, becausexwecwere expecting more.",https://media-cdn.tripadvisor.com/media/photo-l/1b/01/4d/75/caption.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2138895-r692477404-ArtScience_Museum_at_Marina_Bay_Sands-Singapore.html,-0.2514,Negative,27,useful,useful,useful,3,,,
Flower Dome,Warrens_of_Conder,Disappointing,20,13-Oct-18,"Unfortunately visited cloud forest first so this was quite disappointing, the wizard of oz theme was quite amusing, and there were some purple sunflowers otherwise not fantastic",https://media-cdn.tripadvisor.com/media/photo-l/06/c2/9d/b2/warrens-of-conder.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r624373339-Flower_Dome-Singapore.html,-0.7117,Negative,27,useful,useful,useful,3,,,
Gardens by the Bay,atanvarno,Indoor attractions a must,40,12-Feb-20,The 2 indoor domes are a must-visit and much more comfortable than being outdoors during the day. But come early and on weekdays to avoid the crowds,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e8/91/default-avatar-2020-62.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r744464754-Gardens_by_the_Bay-Singapore.html,-0.1289,Negative,27,not useful,not useful,not useful,0,,,
Gardens by the Bay,tbhphoebe,Inconvenient travel direction,30,9-Apr-18,"For the Cloud Forest, the visit direction is fixed and need to go out and re-enter to visit if got some places missed out. A bit inconvenient.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f3/e4/default-avatar-2020-30.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r572085843-Gardens_by_the_Bay-Singapore.html,-0.5574,Negative,27,useful,useful,useful,3,,,
Jewel Changi Airport,Elaine K,Amazing man made waterfall,40,25-Jan-20,"This man made structure is amazing. Located by the Airport and mall, it strategically showcases and introduces the waterfall admist shopping and eating outlets. Very popular with locals and tourists.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e8/91/default-avatar-2020-62.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d17237163-r741058088-Jewel_Changi_Airport-Singapore.html,0.7841,Positive,30,useful,useful,useful,3,,,
Gardens by the Bay,K1730GOlisat,Flowers Or Plants,30,14-Jan-16,"Unless there is a flower exhibition/show, one sees more plants than flowers including cactus. This those who pay the entrance fees expecting flowers should do some homework.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e7/99/default-avatar-2020-57.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r339901956-Gardens_by_the_Bay-Singapore.html,-0.1027,Negative,27,useful,useful,useful,3,,,
Gardens by the Bay,CosSwitzerland,An impressive architectural feat,30,1-Oct-16,The architecture of the glass domes and waterfall are impressive but the actual botanical aspect of the gardens was not very interesting. I did not see many rare or unusual species although I am no botanist. It was a nice half day trip.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e8/5b/default-avatar-2020-61.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r424070303-Gardens_by_the_Bay-Singapore.html,-0.0419,Neutral,43,useful,useful,useful,3,,,
Singapore Botanic Gardens,JohnWickFO,Outdoors For Good Weather Only,30,5-Jul-19,If you are up for a good walk in nature then this would be the place for you. But please ensure the weather is in your favour before heading there.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e5/66/default-avatar-2020-53.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d310900-r646487213-Singapore_Botanic_Gardens-Singapore.html,0.9032,Positive,30,useful,useful,useful,3,,,
Gardens by the Bay,kimmos544,Only disappointment on our stay,20,22-Dec-16,"We had high expectation for gardens by the bay, but unfortunately it turned to be disappointment. What it gives compared to entry fee it is clear mismatch.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ed/7b/default-avatar-2020-6.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r446069903-Gardens_by_the_Bay-Singapore.html,-0.631,Negative,27,not useful,not useful,not useful,0,,,
Jurong Bird Park,Math4life,The most amazing birds,40,30-Aug-19,There were tons of birds and I suggest you take the tram to different stops because of the view. Plus my favourite part was the bird shows.,https://media-cdn.tripadvisor.com/media/photo-l/18/99/bf/4a/math4life.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315466-r704578807-Jurong_Bird_Park-Singapore.html,-0.1531,Negative,27,useful,useful,useful,3,,,
Supertree Grove,ryanworldwide365,A must see in Singapore!,40,4-Jan-20,Such an iconic and beautiful place! I definitely consider it a must see if you visit Singapore. There's also a lot to do in this area. Would recommend for sure!,https://media-cdn.tripadvisor.com/media/photo-l/1a/7e/14/ba/avatar.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r736737468-Supertree_Grove-Singapore.html,0.8997,Positive,30,useful,useful,useful,3,,,
Jurong Bird Park,GT1982,Slightly boring,20,13-Sep-16,My children found this park a little boring. There are things to do but I would always prefer Singapore Zoo if you had to make a choice.,https://media-cdn.tripadvisor.com/media/photo-s/01/2e/70/7f/avatar066.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315466-r417808978-Jurong_Bird_Park-Singapore.html,-0.1289,Negative,27,not useful,not useful,not useful,0,,,
Sands Skypark Observation Deck,lathac23,No park only deck,20,31-Jul-18,As a visitor if you don't book a room here then it is not worth to visit this place. Ticket price is not worth for the visit.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e7/fe/default-avatar-2020-58.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r601315233-Sands_Skypark_Observation_Deck-Singapore.html,-0.3252,Negative,27,not useful,not useful,not useful,0,,,
Singapore Cable Car,ajaya695,Boring,30,7-Jan-18,"It is just a simple cable car ride connecting Sentosa Island to the mainland. It might be interesting for kids, but it is generally boring in nature.",https://media-cdn.tripadvisor.com/media/photo-l/11/4f/ef/96/ajay-a.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r552171278-Singapore_Cable_Car-Singapore.html,-0.2732,Negative,27,not useful,not useful,not useful,0,,,
Singapore Flyer,Anubhav J,Boring,20,13-Mar-19,Get a view of the entire city. But gets boring after the first few minutes. There is nothing to do and you want the ride to end.,https://media-cdn.tripadvisor.com/media/photo-l/15/d6/5f/a8/anubhavjhunjhunwala.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d678639-r658161285-Singapore_Flyer-Singapore.html,-0.3612,Negative,27,not useful,not useful,not useful,0,,,
Gardens by the Bay,robertsteven,Unusual but overrated.,30,31-Jan-17,"Worth seeing, but keep your expectations reasonable. Went at night and the light show is bit blah. Still, a nice place to see and walk around. I just expected more WOW!",https://media-cdn.tripadvisor.com/media/photo-l/01/dd/d9/de/robertsteven.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r455954816-Gardens_by_the_Bay-Singapore.html,0.9115,Positive,31,useful,useful,useful,3,,,
Gardens by the Bay,Shaleen S,Good walk through a well maintained garden,30,10-Apr-16,Visited with my husband. Wanted to take the shuttle but the line was too big. Had a short walk through the garden.,https://media-cdn.tripadvisor.com/media/photo-l/05/bd/8f/f0/shaleen-s.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r362927110-Gardens_by_the_Bay-Singapore.html,0,Neutral,22,not useful,not useful,not useful,0,,,
Sands Skypark Observation Deck,Mark S,Do It!,50,5-May-20,"The experience as well as the views are stunning. We arrived late afternoon and stayed well into the evening, enjoying the view, the lights, the super trees, the harbor, and more.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/eb/43/default-avatar-2020-11.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1837767-r753143853-Sands_Skypark_Observation_Deck-Singapore.html,0.9201,Positive,31,useful,useful,useful,3,,,
Gardens by the Bay,Brandon J,average,30,28-Oct-19,"its a big garden with limited facilities for tourist to enjoy, staffs are not helpful and you will easiliy get tired walking around. The views are just okay...",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f1/06/default-avatar-2020-18.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r721896685-Gardens_by_the_Bay-Singapore.html,-0.2575,Negative,28,useful,useful,useful,3,,,
Gardens by the Bay,JackScas,Interesting but needs some work,30,28-Jan-16,"If you're staying at Marina Bay Sands, then take a walk across the road and check this out. If not, then go to the botanic gardens",https://media-cdn.tripadvisor.com/media/photo-l/1c/75/0c/91/caption.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r343195547-Gardens_by_the_Bay-Singapore.html,0,Neutral,26,not useful,not useful,not useful,0,,,
Gardens by the Bay,Garry999,Disappointed,20,23-Oct-17,Visited this attraction on a short Singapore stay.I didn't know what to expect but was slightly disappointed with what we saw.We were in and out within an hour.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e9/ef/default-avatar-2020-66.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r535362707-Gardens_by_the_Bay-Singapore.html,-0.404,Negative,28,not useful,not useful,not useful,0,,,
Jurong Bird Park,khalidhassanama,Not a nice place,10,24-Aug-16,Don't good there it's no worth it waste of time the place is not organized and there no birds to touch or to take a photo only few,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e3/1f/default-avatar-2020-46.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315466-r410028565-Jurong_Bird_Park-Singapore.html,-0.7948,Negative,28,useful,useful,useful,3,,,
Gardens by the Bay,paulinphukket,irritating staff incompetence; much too cold inside,30,13-Dec-15,"Lovely and futuristic place over-staffed by a horde of 17 year old idiots whose training seems to have emphasized a) speaking incomprehensible Singlish;b) gesturing toward large EXIT signs and telling me to exit;c) playing with their smart phones;d) misunderstanding questions in several languages;e) carrying walkie-talkies around;f) checking my ticket every 3 meters all day long;g) working in pairs so that the total IQ of every pair can reach 70.the two domes are kept at low temperatures for reasons unknown. i mean 14C. i was dressed for tropical singapore, not for norway. i came down with a heavy chest cold within hours and had to visit a doctor, which cost an extra $100. nice.",https://media-cdn.tripadvisor.com/media/photo-o/05/ac/4f/ac/paulinphukket.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r332369012-Gardens_by_the_Bay-Singapore.html,0.743,Positive,113,useful,useful,useful,3,,,
Singapore Cable Car,smcgaw,expensive,30,15-Dec-13,Was a good view but sgd222 for a one way trip for 10 minutes was way over the top. would not recommend. better to do the singapore flyer,https://media-cdn.tripadvisor.com/media/photo-o/03/cf/4a/52/smcgaw.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r187644302-Singapore_Cable_Car-Singapore.html,-0.3867,Negative,28,not useful,not useful,not useful,0,,,
Gardens by the Bay,Bianca L,Nothing Special,30,21-Jul-15,This place lacks a natural feel and everything is man made. Many flowers and plants are imported from other countriesIt is also very crowded packed with full of tourists. Not really recommended,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e2/a7/default-avatar-2020-44.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r290950689-Gardens_by_the_Bay-Singapore.html,0.1757,Positive,32,useful,useful,useful,3,,,
Gardens by the Bay,David_and_Julia2014,closure days,30,7-Sep-15,The gardens are closed 2 days each month for maintenance. Unluckily these were the two days we were iN Singapore,https://media-cdn.tripadvisor.com/media/photo-l/09/10/10/84/david-and-julia2014.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r307647519-Gardens_by_the_Bay-Singapore.html,0,Neutral,20,useful,useful,useful,3,,,
Supertree Grove,Gregsopinion,AMAZING LIGHT SHOW,50,12-Apr-20,When you go to The Gardens by The Bay the light show is a must ..start at 21:00 and is remarkable....music and light show whats not to like,https://media-cdn.tripadvisor.com/media/photo-l/04/73/49/63/gregsopinion.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8634325-r752506087-Supertree_Grove-Singapore.html,-0.2755,Negative,28,not useful,not useful,not useful,0,,,
Gardens by the Bay,FootworksIndia,Over-hyped place,30,20-Aug-15,"It is all about marketing. since I hail from Bangalore our Lalbagh scores hands down, but alas our tourism department hasn't done much about this as to what Singapore has done with an artificial garden created on reclaimed land.",https://media-cdn.tripadvisor.com/media/photo-o/03/f4/81/07/footworksindia.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r301415607-Gardens_by_the_Bay-Singapore.html,0,Neutral,39,useful,useful,useful,3,,,
Gardens by the Bay,Bulletfishes,Sheltered Gardens,30,26-Jul-15,It's a garden composed of 2 domes: One has plants from all over the world that were stuffed in an air conditioned dome and the other has mountain flora with mist and condensation all over the place.,https://media-cdn.tripadvisor.com/media/photo-l/07/f5/e8/6a/bulletfishes.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r292339035-Gardens_by_the_Bay-Singapore.html,0,Neutral,37,useful,useful,useful,3,,,
Gardens by the Bay,johnhardcastle2013,Stunning,40,12-Sep-19,We have been before but not at night so just wanted to see the trees lit up .they didnt dissapoint and glad we took the time to do this,https://media-cdn.tripadvisor.com/media/photo-l/0e/18/a6/ad/johnhardcastle2013.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r709072903-Gardens_by_the_Bay-Singapore.html,-0.4973,Negative,29,useful,useful,useful,3,,,
Gardens by the Bay,Zepp17,Interesting if you have a spare 20 minutes,30,15-Nov-16,"OK I wouldn't say it was bad, but just not my cup of tea, I walked through the entire place in 20 minutes while many spend hours and hours.",https://media-cdn.tripadvisor.com/media/photo-l/10/7d/cd/b1/zepp17.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r437270274-Gardens_by_the_Bay-Singapore.html,-0.073,Negative,29,not useful,not useful,not useful,0,,,
Cloud Forest,AnnikadeBruijne,Beautiful feature - worth seeing,40,6-Dec-19,This is a beautiful garden and feature of Singapore that is truly unique. I enjoyed strolling through and looking at all the elements and interesting aspects of the garden. Definitely worth a visit!,https://media-cdn.tripadvisor.com/media/photo-f/01/d5/cf/33/annikadebruijne.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400781-r724221493-Cloud_Forest-Singapore.html,0.9493,Positive,33,useful,useful,useful,3,,,
Gardens by the Bay,Metzgergang,Too commercial,20,21-Aug-15,"We did not enjoy it as much as we did with the Botanic Garden. Garden by the Bay feels far too synthetic and ""showy"". Also far toi many visitors!!",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e8/ea/default-avatar-2020-63.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r301566294-Gardens_by_the_Bay-Singapore.html,-0.4959,Negative,29,useful,useful,useful,3,,,
Singapore Cable Car,stugross,Birds eye trip to Sentosa,40,4-May-17,Get on at Faber Peak to go to Sentosa Island and coming back get off at the Harbourfront stop. Then you can cruise through the enormous Harbourfront Shopping Mall,https://media-cdn.tripadvisor.com/media/photo-l/0a/f2/43/d8/stugross.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d315470-r481500405-Singapore_Cable_Car-Singapore.html,-0.296,Negative,29,not useful,not useful,not useful,0,,,
Gardens by the Bay,Greg L,"Interesting idea, fantastic location",30,17-Aug-14,"But, lots of people, lots of concrete paths. The plants themselves are spectacular, as is the setting, next to the barrage.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e6/ea/default-avatar-2020-54.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r222286949-Gardens_by_the_Bay-Singapore.html,0,Neutral,21,not useful,not useful,not useful,0,,,
Singapore Zoo,Clodruss,Very busy on weekends.,30,6-Jun-19,It's a zoo. They have animals in a cage...Otherwise no so easy to reach with public transport. $36 for an adult ticket. About $120 for a family of 4,https://media-cdn.tripadvisor.com/media/photo-l/17/0b/00/59/clodruss.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d324542-r679377387-Singapore_Zoo-Singapore.html,-0.6072,Negative,29,not useful,not useful,not useful,0,,,
Gardens by the Bay,Buls123,The light show is boring,30,20-Jun-16,"I visited this place for the light show last week. It was quite boring. The plants are lit up with different lights and at 15 mins, it is too long.",https://media-cdn.tripadvisor.com/media/photo-l/07/1e/60/dd/buls123.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r384159769-Gardens_by_the_Bay-Singapore.html,-0.3804,Negative,30,not useful,not useful,not useful,0,,,
